City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
352,Fuengirola,ES,75.29,light rain,36.54,-4.6247,Hotel Las Palmeras
353,Aberystwyth,GB,66.67,overcast clouds,52.4155,-4.0829,Aberystwyth Park Lodge Hotel
354,Mount Pleasant,US,80.01,clear sky,32.7941,-79.8626,Best Western Patriots Point
355,Ilhabela,BR,71.33,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
356,Port Shepstone,ZA,67.21,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
358,Ancud,CL,63.93,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
359,Comodoro Rivadavia,AR,80.46,clear sky,-45.8667,-67.5,Austral Hotel
360,Coahuayana,MX,89.58,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
361,Pemangkat,ID,77.36,few clouds,1.1667,108.9667,Ramah Kost KITA
363,Wajima,JP,66.81,clear sky,37.4,136.9,Wajiima Onsen Yashio
364,Kupang,ID,75.65,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
365,Mehamn,NO,50.18,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
367,Cayenne,GF,87.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
368,Brae,GB,51.71,broken clouds,60.3964,-1.353,Busta House Hotel
370,Sterling,US,76.05,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
374,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
375,Faanui,PF,76.21,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
377,Betanzos,ES,66.9,few clouds,43.2804,-8.2147,Hotel Garelos Betanzos
378,Kruisfontein,ZA,54.88,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
380,Barabai,ID,74.23,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
382,Lucapa,AO,72.0,scattered clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
384,Yazman,PK,86.52,clear sky,29.1212,71.7446,Jamal sons showroom
388,Kloulklubed,PW,83.17,moderate rain,7.0419,134.2556,Storyboard Beach Resort
389,Eskil,TR,55.06,clear sky,38.4017,33.4131,Eskil Öğretmen Evi
390,Warrington,GB,68.36,broken clouds,53.3925,-2.5802,Patten Arms Hotel
392,Bijar,IR,61.63,clear sky,35.8668,47.6051,رنگ فروشي جواهري
393,Portland,US,84.96,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
394,Turkmenabat,TM,71.58,clear sky,39.0733,63.5786,"Гостиница ""Yupek Yoly"" (Шелковый путь)"
397,Maputo,MZ,71.28,clear sky,-25.9653,32.5892,Pestana Rovuma
398,Torbay,CA,53.89,broken clouds,47.6666,-52.7314,Gallows Cove
399,Guarapari,BR,76.91,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
401,Oktyabrskoye,RU,50.14,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
403,Tongchuan,CN,64.89,overcast clouds,35.0806,109.0897,Tongchuan Hotel
404,Nampa,US,78.12,clear sky,43.5407,-116.5635,Nampa Downtown
406,Jalu,LY,78.21,clear sky,29.0331,21.5482,صاحبة الفخامة
407,Acapulco,MX,85.87,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
409,Planeta Rica,CO,84.07,scattered clouds,8.4147,-75.5883,HOTEL MEDIA LUNA
410,Cozumel,MX,89.01,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
412,Camacha,PT,71.02,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
413,Tchollire,CM,75.49,overcast clouds,8.4022,14.1698,"Auberge ""l'amicale"""
414,Arrecife,ES,75.27,few clouds,28.963,-13.5477,Hotel Lancelot
415,Carson City,US,85.05,clear sky,39.1638,-119.7674,Courtyard by Marriott Carson City
416,Acarau,BR,84.15,overcast clouds,-2.8856,-40.12,castelo pizzaria
417,Caravelas,BR,73.83,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
419,Namatanai,PG,78.37,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
420,Sitka,US,50.92,light rain,57.0531,-135.33,Westmark Sitka
421,Ahipara,NZ,53.37,few clouds,-35.1667,173.1667,Ahipara Holiday Park
422,Avallon,FR,59.22,clear sky,47.4833,3.9,Hotel d'Avallon Vauban
425,Leh,IN,55.42,broken clouds,34.1667,77.5833,Hotel Ladakh Greens
426,Temryuk,RU,61.02,moderate rain,45.2722,37.3811,Nemetskaya Sloboda
